Effective_From_DateTime,Effective_End_DateTime,Loc_Prop,Loc_Name,Allocated_Qty,Direction_Of_Flow,Accounting_Physincal_Indicator,Posting_DateTime
12/30/2022 09:00,12/31/2022 08:59,70062,"Nat Gas & Oil - Somerset, OH",0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70063,"Huntingburg, IN",0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70065,"Texas Gas Transmission - Lisbon, LA  (Delivery)",0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70066,"Parkway Generation - Sewaren, NJ",0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70069,"UGI Utilities, Inc. (Columbia Gas)  - Columbia, PA",202,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70070,"UGI Utilities, Inc. (Columbia Gas) -Lancaster, PA","2,080",D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70077,"Columbia Gas - Hooker, OH",0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70079,"Atmos Energy Corporation- Jim Hill, MO","1,664",D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70081,"Columbia Gas - Sabina, OH",0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70087,"Algonquin - Lambertville, NJ","154,120",D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70089,"Consumers Gas Co. - Carmi, IL",0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70090,"Somerset Gas - Casey Co., KY",0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70092,"Norris City, IL",156,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70093,"Jasper, IN",418,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70095,"Nat Gas - Caldwell, OH",0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70096,"UGI CENTRAL - Shippensburg - Oxford, PA",347,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70098,"Fulton, MS",0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70099,Belmont  MS,416,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70100,"Red Bay, AL",150,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70101,Lawrenceburg Gas - TN,"1,215",D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70102,"Unit Cities - Murfreesboro, TN",0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70104,"Lafayette, TN",0,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70107,"Arkla Inc. - Cabot, AR",742,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70108,"Arkla Inc. - Beebe, AR",395,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70109,"Arkla Inc. - Light, AR",227,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70110,"Assoc Nat Gas - Piggott, AR","2,204",D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70119,"Chambersburg, PA","4,407",D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70122,"Cairo, Public",509,D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70123,"Miss River Fuel Transmission - Bald Knob, AR (REC)",0,R,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70128,"Public Service - Linden, NJ","7,034",D,P,01/10/2023 06:07
12/30/2022 09:00,12/31/2022 08:59,70129,Louis Dreyfus,0,D,P,01/10/2023 06:07
