Effective_From_DateTime,Effective_End_DateTime,Loc_Prop,Loc_Name,Allocated_Qty,Direction_Of_Flow,Accounting_Physincal_Indicator,Posting_DateTime
11/14/2022 09:00,11/15/2022 08:59,00230,"Marathon (MIDDLESEX,MA)",0,R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00240,"Columbia Hanover (MORRIS,NJ)",0,R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00251,"Brookfield (FAIRFIELD,CT)",0,R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00271,"Everett Int. (MIDDLESEX,MA)",0,R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00620,"Excelerate Energy LP - Excelerate MS - (ESSEX,MA)",0,R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00621,"Excelerate Energy LP - Excellence MS -(ESSEX, MA)",0,R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00622,"Excelerate Energy LP - NE Gateway-Explorer (ESSEX,MA)",0,R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00623,"Excelerate Energy LP - Express (ESSEX,MA)",0,R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00624,"Excelerate Energy LP - Exquisite (ESSEX,MA)",0,R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00625,"Excelerate Energy LP - Expedient (ESSEX,MA)",0,R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00626,"Excelerate Energy LP - Exemplar (ESSEX,MA)",0,R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00630,"Suez Neptune LNG -(ESSEX, MA)",0,R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00631,"Suez Cape Ann, LNG -(ESSEX, MA)",0,R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00801,Milford Power,0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00803,"FORE RIVER (NORFOLK,MA)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00804,"Hebron (HARTFORD,CT)",10,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00805,"Franklin (NEW LONDON,CT)",282,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00806,Canal Generating,0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00807,"North Haven Low Pressure (NEW HAVEN,CT)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00809,"Ball Foster (NORFOLK,MA)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00810,"NRG Middletown, (MIDDLESEX,CT)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00811,"North Somers (WESTCHESTER,NY)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00812,"TMPL (BRISTOL,MA)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00813,"National Grid-ROCHESTER (PLYMOUTH,MA)","1,540",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00814,"ANP BELLINGHAM ENERGY COMPANY (NORFOLK,MA)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00815,"Dighton Power LLC Bristol MA (BRISTOL,MA)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00816,"Revere Power (PROVIDENCE,RI)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00817,"Dynegy Lake Road (Windham,CT)","3,330",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00819,"Middletown- Cromwell Fairfield, CT",518,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00820,"Wallingford Energy Interconnect (FAIRFIELD,CT)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00821,"Pinehills Meter - (PLYMOUTH,MA)",401,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00822,"Phelps Dodge (NEW LONDON,CT)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00823,"Sharon Station-(NORFOLK,MA)","5,765",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00824,New England Gas Company Fall River Gas-North Fall River Sta-(BRIST,"1,630",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00826,"Mystic (MIDDLESEX,MA)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00827,"National Grid-WEYMOUTH (NORFOLK,MA)","5,345",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00828,"UConn Mansfield (TOLLAND,CT)",33,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00829,"National Grid-SANDWICH (BARNSTABLE,MA)","4,207",D,P,12/10/2022 06:05
