GFLOC,LocPurpDesc,Loc,LocName,LocZn,IT,FlowInd,LocSegment,DesignCapacity,OperatingCapacity,TotalScheduledQuantity,OperationallyAvailableCapacity,AllQtyAvail,QtyReason,Timestamp,GFPipeID,EffGasDayTime,TSP_Name,PipeCode,CycleDesc
100OA071528D,Delivery Location,71528,"UGI UTIL (Columbia Gas) - Lancaster, PA",3,N,D,,20248.0,20248.0,9125.0,11123.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071616R,Receipt Location,71616,"Col. Gas - Fairfield Co., OH",2,N,R,,264727.0,275131.0,98693.0,176438.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071655R,Withdrawal Point,71655,"Dominion Energy Transmission, Inc - South Oakford - Oakford Storag",2,N,R,,694652.0,694652.0,12415.0,682237.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071671D,Delivery Location,71671,"PEOPLES NAT - Rager Mountain, PA",3,N,D,,76328.0,76328.0,0.0,76328.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071682D,Delivery Location,71682,"Philadelphia Gas Works Penrose (Eastwick)-Philadelphia, PA",3,N,D,,12212.0,12212.0,0.0,12212.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071704D,Delivery Location,71704,"Gulf South Pipeline Company, LP - Darnell, LA  (Delivery)",ELA,N,D,,16365.0,16365.0,0.0,16365.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071706R,Receipt Location,71706,"NorAm - Shelby Co., TX  (Receipt)",ETX,N,R,,15008.0,15396.0,115.0,15281.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071716R,Receipt Location,71716,"Trunkline - Beauregard Psh., LA",WLA,N,R,,305312.0,305212.0,0.0,305212.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071744D,Delivery Location,71744,"Dominion Energy Transmission, Inc - Perulack, PA",3,N,D,,396778.0,439091.0,10000.0,429091.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071745D,Delivery Location,71745,"Dominion Energy Transmission, Inc -Chambersburg, PA",3,N,D,,176372.0,736372.0,26000.0,710372.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071750R,Receipt Location,71750,"Columbia Gulf - St. Landry Psh., LA",WLA,N,R,,76328.0,76328.0,0.0,76328.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071814D,Delivery Location,71814,"Alcoa-Lavaca Pipeline - Calhoun, TX  (Delivery)",STX,N,D,,65562.0,65562.0,0.0,65562.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
