GFLOC,LocPurpDesc,Loc,LocName,LocZn,IT,FlowInd,LocSegment,DesignCapacity,OperatingCapacity,TotalScheduledQuantity,OperationallyAvailableCapacity,AllQtyAvail,QtyReason,Timestamp,TSP,EffGasDayTime,CycleDesc
114OA000069D,Delivery Location,00069,"Oxford (NEW HAVEN, CT)",,N,D,,16600.0,16600.0,487.0,16113.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000071D,Delivery Location,00071,"New England Gas Company Swansea (BRISTOL,MA)",,N,D,,38087.0,38087.0,0.0,38087.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000072D,Delivery Location,00072,"Portland (MIDDLESEX,CT)",,N,D,,16410.0,16410.0,0.0,16410.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000074D,Delivery Location,00074,"National Grid-WELLESLEY (NORFOLK,MA)",,N,D,,183583.0,182563.0,34440.0,148123.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000075D,Delivery Location,00075,"GLASTONBURY (HARTFORD,CT)",,N,D,,258506.0,275773.0,27816.0,247957.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000076D,Delivery Location,00076,"MANSFIELD (TOLLAND,CT)",,N,D,,24266.0,24266.0,0.0,24266.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000077D,Delivery Location,00077,"DEFCO (NEW HAVEN,CT)",,N,D,,3870.0,3870.0,0.0,3870.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000078D,Delivery Location,00078,"CROMWELL (MIDDLESEX,CT)",,N,D,,173244.0,173244.0,2361.0,170883.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000079D,Delivery Location,00079,"SOUTHBURY (NEW HAVEN,CT)",,N,D,,12481.0,12481.0,3559.0,8922.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000080D,Delivery Location,00080,"National Grid-POLAROID (MIDDLESEX,MA)",,N,D,,93554.0,93554.0,15078.0,78476.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000081D,Delivery Location,00081,"National Grid-POTTER St. (NORFOLK,MA)",,N,D,,127376.0,127376.0,0.0,127376.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000082D,Delivery Location,00082,"Stonington (NEW LONDON,CT)",,N,D,,4820.0,4820.0,49.0,4771.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
